Reaction,Flux
FLVR_1,0.0
FMETDF,0.0
FMETTRS_1,0.0
FMNAT,2.80574426651862e-15
FMNRy,0.0
FORt2,-1.7192210965201392e-14
HEX7,0.0
FTHFD,0.0
FUM,19.21408630849106
G1Dx,0.0
G1PACT,1.1715956390250815
G1PPDM,0.0
G3PD1ir,106.43890328209105
G3PD4,0.0
G5SD,0.0
G6PDA,0.0
G6PI,0.0
ABUTt2r,0.0
GALCTD_1,0.0
GALS1,0.0
GALS2,0.0
GALS3,0.0
GALS4,0.0
GALT,0.0
GALUi,0.9015733260543527
GALt2,0.0
GAPDi_nadp,0.0
GARFT,0.0
GART,0.0
GBBTNabc,0.0
GBEZY,0.0
GF6PTA,0.8012904747058329
GGTAe2,0.0
GHMT2r,-0.01959736158625118
GK1,-0.28023629582256465
GK2,0.0
GLCNt2ir,0.0
GLCS1,0.0
GLCt2,0.0
GLGC,0.0
GLNS,0.6742239145686272
GLNabc,1.5833333333333361
GLTPD,0.0
GLU5K,0.0
GLUPRT,1.4016354684081463e-17
GLUR,-0.3648251945983984
GLUSy,0.0
GLUTRR,0.0
GLUTRS,0.0
GLUt4,0.0
GLXCBL,0.0
GLYAT,0.0
GLYBabc,0.0
GLYCK,0.0
GLYCTO1,0.0013150146480215702
GLYK,0.0
GMPR,0.0
GMPS2,0.0
GNKr,0.0
GPDDA1,0.0
GPDDA2,0.0
GPDDA4,0.0
GRTT,0.0009531168838521463
GTHPe,0.0
GTPCI,0.0013150146480215702
GTPCII,0.0
GTPDPK,0.0
GUAD,0.8043273316888025
GUAPRT,0.0
GUAt2r,0.3679577464788732
GUI1,0.0
GUI2,0.0
HACD1_1,-0.1002420975287506
HACD2,-0.1002420975287506
HACD3,-0.1002420975287506
HACD4,-0.1002420975287506
HACD5,-0.1002420975287506
HACD6,-0.1002420975287506
HACD7,-0.0771093057913466
HACD9,-1.7076274119175062e-17
HACOADr,0.0
HEMEAS,0.0
HEMEOS_1,0.0
HETZK,0.0
HEX1,0.0
HEXTT,0.0009531168838521461
HIBD,0.0
HISTD,0.0
HISTP,0.0
HISt2r,0.8732394366197184
HKM1PP,0.0
HMBS,0.0
HMPK1,0.0
HOXPRx,0.0
HP5CD_1,0.0
HPPK,0.0013150146480215704
HSDy,0.3753750073107593
HSK,0.3454253129450308
HSST,-0.4002548586849772
HSTPTr,0.0
HXANt2r,0.181924882629108
ICDHyr,-16.39560293614352
ICHORS,0.0009531168838521467
ICHORT,0.0
IG3PS_1,0.0
IGPDH_1,0.0
IGPS,0.0
ILEDHr,0.1832436073386896
ILETA,-0.3932574595358676
IMPC,1.401635468408146e-17
IMPD,0.4446752947397134
INS2D,2.267605633802817
INSCR,2.2676056338028174
INSTt2,2.2676056338028165
IPDDI,0.0057187013031128765
IPDPS,0.0
IPDPUPT,0.0
IPMD,1.494512147143849
IPPMIa,1.494512147143849
IPPMIb,-1.494512147143849
IPPS,1.494512147143849
KARA1,-2.3001469361483307
KARA2,-0.18324360733868958
KAS1,0.007710930579134662
KAS10,0.0
KAS11,0.05397651405394262
KAS12,0.13108581984528922
KAS13,0.023132791737403978
KAS17,0.0
KAS2,0.0
KAS3,0.1542186115826932
KAS4,0.26217163969057844
KAS5,0.0
KAS6,0.03855465289567331
KAS7,0.0
KAS8,0.0
KAS9,0.0
Kt2r,0.0
LAAF,0.0
LACZ,0.0
LCADi,0.0
LCTSabc,0.0
LDH2,0.0
LDH_L,0.0
LEUTA,0.0
LLEUDr,1.2863170215072133
LYSDC,0.0
LYSt3r,472.11788392339264
M1PD,-0.988262910798122
MAL6PG,0.0
MALTATr,0.0
MALTabc,0.0
MALt10,0.0
MAN6PI,0.0
MANt2,0.0
MCITS,0.0
MCSNAH,-0.030902811249580615
MDH,-19.214086308491062
MDRPD,0.0
MALDDH,0.0
ME2,0.0
MECDPDH2,0.006671818186965022
MECDPS,0.006671818186965021
MEPCT,0.006671818186965022
METAT,0.0
METDabc,0.0
METS,0.0
METSR_R1,0.0
METSR_R2,0.0
METSR_S1,0.304448294262091
METSR_S2,0.0
METSRabc,0.0
METSabc,0.3044482942620911
METTRS,0.0
METabc,0.0
MGSA,0.0
MGt5,-0.29484848219669096
MI1PP,0.0
MCITL2,-2.315459235922713e-16
MLTG1,0.0
MLTG2,0.0
MLTG3,0.0
MLTG4,0.0
MLTG5,0.0
MLTG6,0.0
MLTG7,0.0
MMSAD1,0.0
MMSAD2,0.0
MMSAD3,4.874089305074157
MMSDHir,0.0
MNNH,0.0
MNabc,0.0
MNt2,0.0
MOBDabc,0.0
MOHMT,0.018282346938229582
MPL,0.0
MTAN,0.0
MTHFC,-0.0013150146480215986
MTHFD,-0.0013150146480215986
MTHFR3,0.0
MTRI,0.0
MTRK,0.0
NADH4,0.0
NADK,0.0
NADK1,0.0
NADK2,0.0
NADK3,0.0
NADK4,0.0
NADK5,0.0
NADS1,0.0
NAt3_1,0.09497356604721141
NAPRT,0.0
NDPK1,0.0
NDPK2,0.0
NDPK3,0.0
NDPK4,0.0
NDPK5,0.0
NDPK6,0.0
NDPK7,-0.051080379396043936
NDPK8,-0.041798235665605935
NDPK9,0.0
NH4t,8.853974924057205e-16
NMNAT,-42.40303735307246
NNAM,0.0
NNATr,0.04096558605763331
